candidato,distancias,nombre,diferencia
143,2.1496061144648237,cuajimalpa de morelos,1.6516876220703125
743,2.2739550706987055,monterrey,9.377410888671877
734,2.3599198796639183,guadalupe,10.856094360351562
1249,2.430115587442149,boca del rio,5.717842102050781
1279,2.5404167179871546,cordoba,24.885643005371094
144,2.5734131106494003,cuauhtemoc,12.827911376953123
1319,2.6848441654913358,orizaba,6.545616149902344
1372,2.7581112370270087,veracruz,35.947723388671875
1349,2.817020938989262,teocelo,6.969532012939453
592,3.0002694472563207,xochitepec,3.122344970703125
253,3.0730458414769046,villagran,12.09090805053711
585,3.1397881884394625,temoac,5.4143781661987305
576,3.1419583308216024,cuernavaca,13.334320068359377
1252,3.142513584421044,camerino z. mendoza,3.839176177978516
1282,3.235481584031784,fortin,5.270544052124023
688,3.2474318236418993,toluca,112.6087646484375
5,3.351336955810238,pabellon de arteaga,8.757896423339844
240,3.4088923691851107,san francisco del rincon,20.53085327148437
149,3.50772410568227,miguel hidalgo,10.471649169921877
956,3.5092726169507307,puebla,166.541015625
1227,3.530401080400569,totolac,4.579194068908691
100,3.537953455132953,tuxtla gutierrez,30.07086181640625
993,3.547412623603812,teziutlan,4.328666687011719
984,3.549122403450122,tepanco de lopez,6.087902069091797
1013,3.573239942364273,zacapoaxtla,2.7826881408691406
571,3.5926374087383897,atlatlahucan,1.2833595275878906
1162,3.5984671937887303,ciudad madero,11.01764678955078
1394,3.602341216125474,conkal,1.0009660720825195
722,3.611430547009319,apodaca,8.897735595703125
735,3.6175653332146545,hidalgo,2.4632015228271484
604,3.6266555331958648,apaxco,3.7685375213623047
1375,3.7350151215349627,xico,2.484281539916992
1430,3.7407036045630444,uman,2.34988784790039
1188,3.7882070057696478,apizaco,6.091285705566406
1247,3.7964342797347235,banderilla,1.3473987579345703
1203,3.8106150671285177,nanacamilpa de mariano arista,1.793344497680664
759,3.8204980920947698,ciudad ixtepec,2.752164840698242
1236,3.8314232206236047,agua dulce,1.5817985534667969
1278,3.838986093511694,cuitlahuac,3.32232666015625
1222,3.8817812938093863,tetla de la solidaridad,4.607768058776856
1116,3.8823450878492176,empalme,5.373270034790039
7,3.883749868480666,san francisco de los romo,5.286899566650391
118,3.9400278704332683,delicias,17.400001525878906
1272,3.976033335523633,coscomatepec,1.9857215881347656
627,4.022878503647971,el oro,6.120504379272461
6,4.022925046139138,rincon de romos,7.641410827636719
567,4.031574385517836,ziracuaretiro,1.4100360870361328
157,4.103055286683116,allende,8.096427917480469
216,4.116947915284185,apaseo el alto,2.841571807861328
749,4.1480193791818145,santa catarina,2.765296936035156
915,4.155758206337217,coronango,5.017301559448242
324,4.165696007168227,apan,1.8789405822753904
1332,4.170491804253422,rafael lucio,1.6371736526489258
1452,4.178148618752254,luis moya,1.1867966651916504
441,4.188007318816083,san pedro tlaquepaque,53.58868408203125
330,4.213675863190857,chapulhuacan,3.060336112976074
241,4.216580563432635,san jose iturbide,10.19744110107422
1191,4.229333471464246,calpulalpan,2.554302215576172
1026,4.237698998528,ezequiel montes,1.6804447174072266
552,4.282577062336808,tinguindin,1.0709266662597656
719,4.290931969967474,xalisco,6.199737548828125
757,4.32266489043587,chahuites,1.767986297607422
1014,4.338155548564637,zacatlan,5.982063293457031
235,4.348998276140789,romita,5.659618377685547
344,4.356820596172133,mineral del monte,1.6316299438476562
660,4.36704810476717,san martin de las piramides,2.299249649047852
494,4.380150300161378,coahuayana,3.260122299194336
170,4.382164233054433,piedras negras,30.659034729003903
590,4.397242628736814,tlayacapan,1.890960693359375
696,4.397531047432296,villa del carbon,5.267778396606445
1437,4.409540924831911,calera,5.709503173828125
1052,4.454628803174871,ebano,1.4859323501586914
312,4.504429254820234,tlapa de comonfort,4.030124664306641
724,4.507031665898239,cadereyta jimenez,19.904529571533203
295,4.510706004419132,ometepec,2.96072006225586
217,4.54579566709397,apaseo el grande,2.218421936035156
304,4.555999023669549,taxco de alarcon,6.177921295166016
875,4.560505294313754,tlalixtac de cabrera,3.9994325637817374
563,4.566173630999157,zacapu,1.5408363342285156
423,4.603493864898427,magdalena,5.922837257385254
1075,4.6242820340629835,tanquian de escobedo,1.9794936180114744
416,4.6300820532912565,jocotepec,6.934087753295898
4,4.63979513976173,jesus maria,21.40589141845703
92,4.649467050616949,tapilula,1.1822738647460938
874,4.6654218269535,tlacolula de matamoros,5.800252914428711
843,4.6719678584433995,santa cruz xoxocotlan,20.36708068847656
360,4.67352462089213,tepeji del rio de ocampo,2.785167694091797
970,4.686832235925579,san pedro cholula,5.4744720458984375
787,4.695498868479517,san agustin de las juntas,3.864973545074463
589,4.711777171883912,tlaquiltenango,4.060466766357422
1365,4.719070851830107,tomatlan,1.0314664840698242
840,4.729285796045711,santa cruz amilpas,2.97409725189209
213,4.736613721772588,vicente guerrero,2.517444610595703
1304,4.738073541241515,las vigas de ramirez,1.0054168701171875
85,4.747277351714259,san fernando,4.178422927856445
376,4.755024840203802,acatic,2.0210351943969727
1020,4.759107615065645,amealco de bonfil,4.09632682800293
218,4.759187042270007,celaya,5.789337158203125
1374,4.769060476498463,xalapa,66.70376586914062
889,4.785998315070586,acatzingo,1.344207763671875
